"","TIMESTAMP","DURATION","RUN.NAME","STATUS","REVISION.ID","SESSION.ID","COMMAND"
"1","2025-09-10 12:39:06","2m 42s  ","tiny_faggin      ","OK    ","1883532afb ","f2e3fb8a-c49e-4433-bda2-008ce3824b58","nextflow run angelovangel/nxf-tgs --pipeline wf-clone-validation --outdir output/fb109692 -profile standard,test -w work/fb109692                                                                                                                                                       "
"2","2025-09-10 12:53:26","1.6s    ","mad_mendel       ","ERR   ","1883532afb ","c97de218-4d96-421e-8da0-01492c663139","nextflow run angelovangel/nxf-tgs --pipeline wf-amplicon --fastq /Users/angeloas/Desktop/2509-plasmid02/fastq_pass --samplesheet /var/folders/cy/xfqdqgvs2mn43hxw_ldk_mfslvntxp/T//RtmpRDSmhU/f8619a4bb682c5d9c720a45a/0.csv --outdir output/b63a5920 -profile standard -w work/b63a5920"
"3","2025-09-10 12:58:24","-       ","backstabbing_ride","-     ","1883532afb ","8e7df178-807c-4440-8afb-7397d38cf04a","nextflow run angelovangel/nxf-tgs --pipeline wf-amplicon --fastq /Users/angeloas/Desktop/2509-plasmid02/fastq_pass --samplesheet /var/folders/cy/xfqdqgvs2mn43hxw_ldk_mfslvntxp/T//RtmpRDSmhU/8fd7cf00712dc746e0bd54e8/0.csv --outdir output/9f1c347b -profile standard -w work/9f1c347b"
